top-1 output,BFA iteration
9,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
7,12
7,12
7,12
7,12
9,12
7,12
9,12
7,12
9,12
5,12
9,12
9,12
9,12
7,12
7,12
9,12
7,12
9,12
7,12
0,12
9,12
7,12
9,12
7,12
9,12
9,12
7,12
7,12
7,12
9,12
9,12
7,12
5,12
7,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
7,12
7,12
7,12
7,12
9,12
7,12
9,12
7,12
7,12
9,12
7,12
0,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
9,12
7,12
7,12
5,12
9,12
9,12
9,12
9,12
9,12
7,12
9,12
9,12
1,12
9,12
9,12
9,12
9,12
5,12
9,12
7,12
7,12
7,12
9,12
9,12
7,12
7,12
7,12
7,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
7,12
7,12
7,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
7,12
7,12
9,12
7,12
7,12
9,12
7,12
9,12
7,12
7,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
7,12
7,12
7,12
9,12
9,12
9,12
9,12
7,12
7,12
9,12
7,12
7,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
9,12
7,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
7,12
9,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
9,12
7,12
9,12
9,12
7,12
9,12
9,12
9,12
9,12
7,12
9,12
7,12
7,12
7,12
7,12
7,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
9,12
4,12
9,12
9,12
7,12
7,12
9,12
9,12
9,12
