--- Evaluation Results ---
test acc on clean examples (%): 54.270
test acc on FGM adversarial examples (%): 40.870
test acc on PGD adversarial examples (%): 36.810

--- Comparative Table (First 100 samples) ---
True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	4	0.14228165	3	0.13698797	3	0.14452212
0	1	0.14975813	1	0.12274838	7	0.11677349
6	6	0.16271332	6	0.12776905	6	0.123254605
9	9	0.13960388	9	0.114776514	3	0.11845531
5	5	0.19601282	5	0.16095433	5	0.156032
1	9	0.14944322	1	0.17717251	1	0.18473239
7	9	0.1478696	7	0.16829821	7	0.18280464
0	0	0.1915761	0	0.14807378	0	0.13806897
3	5	0.104735605	9	0.12246748	9	0.11894142
2	4	0.15663667	4	0.12449657	4	0.11560728
7	7	0.19909239	7	0.16447002	7	0.15688185
2	6	0.14396659	2	0.12427402	2	0.12535994
7	9	0.12131358	7	0.11921596	7	0.12290201
9	9	0.11478593	5	0.116185695	5	0.118701585
6	2	0.13634251	2	0.116732895	2	0.11309353
8	7	0.11453817	8	0.12923387	8	0.1328012
8	8	0.14652008	9	0.1248316	9	0.119573645
8	8	0.13313188	9	0.14948055	9	0.15288982
7	7	0.14045198	5	0.11265937	6	0.11480012
9	9	0.17664169	9	0.13199626	6	0.13745031
4	4	0.15235229	4	0.13724941	4	0.1341329
2	6	0.12743695	5	0.13421743	5	0.13686575
3	5	0.11978187	4	0.114595115	6	0.12282925
5	5	0.12474471	2	0.12506704	2	0.122466326
0	5	0.13612494	5	0.11247178	8	0.121252544
0	9	0.14752631	7	0.1191811	7	0.12309864
2	4	0.13006587	6	0.1316705	6	0.1386254
8	8	0.19884068	8	0.17179704	8	0.16725221
1	0	0.113380566	4	0.12337741	4	0.12587523
8	8	0.20674983	8	0.18935439	8	0.17776096
2	6	0.12314026	5	0.11169687	5	0.11149377
0	0	0.2117523	0	0.18297039	0	0.17654257
7	7	0.18650596	7	0.14239444	7	0.1385199
2	4	0.12496224	6	0.12520188	6	0.12804852
0	4	0.12506947	6	0.12882149	6	0.13428836
0	0	0.18437515	0	0.17024891	0	0.1668443
9	9	0.12527731	5	0.1074047	5	0.11142134
1	1	0.16072877	8	0.13753837	8	0.13952175
0	9	0.12837875	1	0.115401134	8	0.11074181
5	3	0.11084319	1	0.11144127	8	0.13308127
1	9	0.13507946	5	0.11642137	5	0.12490844
5	5	0.17365655	5	0.14385048	5	0.13958988
0	0	0.19536503	0	0.15489748	0	0.1469827
3	5	0.119420186	6	0.13820063	6	0.15066986
5	5	0.14778745	5	0.120663255	5	0.11791523
0	0	0.20606606	0	0.16914725	0	0.16442886
2	2	0.11646498	3	0.11087871	9	0.11069222
0	0	0.19157603	0	0.16336909	0	0.15908696
5	5	0.1961177	5	0.16836777	5	0.1530118
3	9	0.13154161	6	0.12183786	6	0.11999181
7	7	0.1873011	7	0.14514731	5	0.14415966
4	5	0.113292545	4	0.11734431	4	0.12007927
1	1	0.16593605	9	0.14391918	9	0.14847212
4	4	0.1327764	8	0.12771545	8	0.12784994
2	6	0.13719223	4	0.1329172	4	0.13476154
5	4	0.13367622	4	0.11217625	3	0.112215176
1	9	0.12538105	3	0.11189831	3	0.10974588
5	4	0.13284063	6	0.11812066	6	0.11537665
2	5	0.12657526	3	0.1187186	3	0.11780891
0	0	0.16834247	8	0.13557136	8	0.11852026
7	7	0.17788571	7	0.1267962	7	0.120237626
2	4	0.1294475	6	0.1267208	6	0.12961099
2	4	0.17426832	4	0.1500163	4	0.14166571
1	9	0.1920524	9	0.14767122	9	0.14144967
8	8	0.20230006	8	0.17228852	8	0.16491158
5	2	0.12158749	5	0.114043705	5	0.12695427
3	2	0.15033847	2	0.12866719	2	0.12496529
5	5	0.21633533	5	0.20022863	5	0.19695534
3	3	0.12879224	5	0.1186076	5	0.118913576
0	8	0.12263253	1	0.13078786	1	0.13324888
6	6	0.12636575	5	0.123726085	5	0.124904156
1	6	0.12597431	1	0.11374688	1	0.116346635
5	5	0.20668279	5	0.18249172	5	0.17794715
2	6	0.1384079	5	0.11763395	4	0.12110027
8	8	0.16503145	9	0.14578791	9	0.14686127
2	4	0.12129642	6	0.116810605	5	0.11769486
5	5	0.20608214	5	0.16362752	5	0.1560152
3	5	0.16899335	5	0.13657549	5	0.13436733
0	0	0.15056406	0	0.11217279	2	0.10935512
8	8	0.13592361	9	0.12987734	9	0.13094461
8	0	0.205407	0	0.1729506	0	0.1658065
8	8	0.21144554	8	0.19454302	8	0.18553285
6	6	0.1511195	6	0.11901968	6	0.11515109
5	5	0.1367258	3	0.13153818	3	0.1279655
8	8	0.19819383	8	0.16191186	8	0.15268578
1	1	0.1595274	1	0.114555925	1	0.11195014
9	9	0.17123728	9	0.124249406	9	0.11842687
8	8	0.16997407	9	0.1261951	9	0.1366911
1	9	0.123555444	2	0.10938748	2	0.11253561
3	5	0.12499072	2	0.11216011	2	0.11972448
6	3	0.11404589	8	0.11104003	8	0.1153744
0	6	0.11960345	5	0.11505113	5	0.11588427
8	8	0.20552918	8	0.17453869	8	0.16640519
7	7	0.13333412	5	0.16033216	5	0.1706584
5	5	0.18352622	5	0.15718934	5	0.15128104
3	5	0.13412309	3	0.11610277	3	0.11618904
1	1	0.13233317	5	0.12221891	5	0.12388187
8	8	0.14163041	9	0.12998562	9	0.13881803
1	9	0.19216847	9	0.16906492	9	0.16558297
4	4	0.12627332	3	0.1314745	3	0.13389675
