True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	3	0.15299973	2	0.14389159	2	0.21618862
0	0	0.1447831	1	0.14971095	1	0.22910842
6	6	0.22430302	2	0.1496005	2	0.18303871
9	9	0.1881155	6	0.17359276	6	0.22167075
5	5	0.18623652	7	0.15784863	7	0.2137228
1	1	0.23193632	1	0.21753272	9	0.15042332
7	7	0.23181711	7	0.22544031	7	0.20238309
0	0	0.22586875	0	0.16925828	8	0.17124967
3	3	0.15354997	5	0.18798864	5	0.2237301
2	7	0.20845698	2	0.13822812	2	0.21093704
7	7	0.23187949	7	0.22645843	7	0.21309768
2	2	0.22548842	6	0.15483057	6	0.22431459
7	7	0.22760673	7	0.17016213	4	0.16018425
9	9	0.22618882	1	0.19613126	1	0.22087015
6	2	0.22863238	2	0.17891996	2	0.16265213
8	8	0.20554997	7	0.22491726	7	0.22891374
8	2	0.17837693	8	0.18825926	8	0.23049633
8	8	0.14456174	0	0.18402001	0	0.2033669
7	7	0.23177832	7	0.22010502	7	0.19947013
9	9	0.21439694	1	0.1398158	3	0.13648622
4	4	0.19933216	2	0.2205091	2	0.22854264
2	2	0.20496534	6	0.15297501	6	0.1760251
3	3	0.19265123	7	0.12157096	7	0.21518616
5	5	0.22686848	5	0.1712901	7	0.1612047
0	0	0.13925308	3	0.14456826	3	0.2151356
0	8	0.15870382	0	0.15766093	0	0.22203006
2	2	0.2258654	6	0.1957161	6	0.22794513
8	8	0.17213811	0	0.2209581	0	0.22763324
1	1	0.23154761	1	0.1661607	0	0.22451925
8	8	0.22758159	8	0.15362906	0	0.2081256
2	2	0.14860445	6	0.22847165	6	0.23150793
0	0	0.22779274	8	0.17636539	8	0.22891437
7	7	0.19584668	3	0.16874476	3	0.20616208
2	2	0.20783538	6	0.14887601	6	0.18528976
0	0	0.22560678	0	0.16260266	2	0.19938324
0	2	0.21114612	2	0.14367966	0	0.19578324
9	9	0.229471	7	0.13007574	7	0.21024571
1	1	0.21839021	9	0.18511872	9	0.21666008
0	9	0.12357822	0	0.17498545	0	0.21447042
5	2	0.12241237	6	0.15315704	6	0.22404753
1	1	0.23098944	0	0.15107608	0	0.20700458
5	5	0.17733896	3	0.19535202	3	0.21546513
0	0	0.22518039	0	0.15274885	8	0.2318131
3	3	0.1542536	7	0.14791629	7	0.22266254
5	2	0.11761318	7	0.1443148	7	0.2125805
0	0	0.23097958	0	0.21995486	0	0.19251886
2	2	0.23090509	2	0.19236705	3	0.18177198
0	0	0.20490782	2	0.1537109	2	0.20943347
5	5	0.22014393	5	0.1668108	3	0.14602518
3	6	0.21478838	5	0.15183279	5	0.20928931
7	7	0.20504953	5	0.1939818	5	0.21675223
4	7	0.1505962	4	0.19016877	4	0.22854525
1	1	0.23196898	1	0.22973756	1	0.1949409
4	4	0.15956238	0	0.16321844	0	0.21577269
2	2	0.23085897	2	0.17093866	7	0.16546988
5	3	0.15751138	7	0.12851562	7	0.21712239
1	1	0.18060267	5	0.12365454	2	0.15539153
5	4	0.1282928	6	0.12379489	5	0.20533149
2	2	0.22633639	2	0.17584133	7	0.12969589
0	0	0.2040513	8	0.2259052	8	0.2311422
7	7	0.23193443	7	0.23096621	7	0.2295614
2	2	0.23112322	2	0.22265327	2	0.20473066
2	2	0.19119835	2	0.117015615	7	0.15385242
1	1	0.22896622	9	0.18184417	9	0.21743287
8	8	0.23059614	0	0.14850187	0	0.20948784
5	0	0.13798155	8	0.17832474	8	0.22510307
3	3	0.17185277	3	0.13103737	2	0.17408127
5	5	0.22838525	5	0.18038784	5	0.1547022
3	3	0.13930595	6	0.21957545	6	0.22919056
0	0	0.13302752	1	0.14902638	1	0.22680421
6	6	0.15101735	2	0.19491626	2	0.22504924
1	1	0.22920965	6	0.12435752	6	0.20592028
5	5	0.22774571	5	0.18452123	5	0.14828528
2	2	0.22514725	5	0.14876126	5	0.21612744
8	0	0.17977388	8	0.22814773	8	0.23145981
2	2	0.18101804	3	0.17346378	3	0.21934973
5	5	0.20863232	3	0.16148916	3	0.19319874
3	5	0.14168315	2	0.19458485	2	0.22781427
0	0	0.22755462	0	0.19159071	2	0.15928252
8	0	0.14338456	8	0.22768943	8	0.22890262
8	8	0.22495739	0	0.15657736	0	0.19682741
8	8	0.22984082	0	0.1759338	0	0.21342191
6	6	0.2317685	6	0.22119875	6	0.21495412
5	5	0.15945943	7	0.14682479	7	0.20630445
8	8	0.23192693	8	0.220899	8	0.16090988
1	1	0.23196799	1	0.23168994	1	0.23092403
9	9	0.2296535	9	0.17175841	1	0.18662252
8	8	0.23181413	8	0.173937	3	0.22781064
1	1	0.22232807	0	0.15393226	0	0.22532795
3	2	0.23057717	2	0.14599308	6	0.17816801
6	6	0.22716126	3	0.14670724	3	0.22573008
0	1	0.11626555	3	0.14969435	3	0.18725133
8	8	0.23171152	8	0.20218344	0	0.1830347
7	7	0.21122134	5	0.15005866	5	0.20236059
5	5	0.21712291	7	0.14507906	7	0.20914778
3	3	0.17976438	5	0.13799968	5	0.19013478
1	1	0.22886927	1	0.11284903	6	0.21804196
8	8	0.23192689	8	0.22114784	1	0.1966875
1	1	0.23190847	1	0.21371505	1	0.16372281
4	7	0.1214605	3	0.14289577	3	0.19856143
