--- Evaluation Results ---
test acc on clean examples (%): 57.290
test acc on FGM adversarial examples (%): 40.100
test acc on PGD adversarial examples (%): 35.530

--- Comparative Table (First 100 samples) ---
True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	4	0.1329372	3	0.11109473	3	0.11213031
0	1	0.13789017	0	0.12888232	0	0.13452648
6	6	0.14420106	4	0.12866375	4	0.12952077
9	0	0.12467661	9	0.13176498	9	0.13956532
5	5	0.1737806	7	0.13435583	7	0.14032511
1	1	0.1480526	9	0.15020716	9	0.1450945
7	7	0.14868303	9	0.1251949	9	0.13110001
0	0	0.18757646	0	0.15888208	0	0.15295173
3	0	0.11039478	5	0.110619426	5	0.11319254
2	4	0.13707747	7	0.1374115	7	0.15884252
7	7	0.19366491	7	0.1545826	7	0.15012704
2	6	0.12433715	2	0.11050103	8	0.116478935
7	9	0.114982836	0	0.118838675	0	0.12375769
9	1	0.12533683	7	0.124461345	7	0.1266846
6	2	0.1374681	4	0.11760989	4	0.12004049
8	7	0.12153449	8	0.124680534	8	0.1265558
8	8	0.15271528	0	0.14365226	0	0.14538433
8	8	0.14273301	9	0.13283579	9	0.13858432
7	7	0.15325083	6	0.11683122	6	0.11926678
9	9	0.17032655	9	0.13986577	9	0.1323849
4	4	0.14349748	4	0.13493527	4	0.13189816
2	6	0.14617392	5	0.11476983	5	0.11845511
3	7	0.10930343	3	0.1203035	3	0.12526515
5	2	0.12566136	5	0.12090902	5	0.120260686
0	3	0.112838306	0	0.11766916	0	0.13297215
0	9	0.13103756	8	0.12283795	8	0.13320321
2	4	0.13350265	6	0.12939458	6	0.1348474
8	8	0.17130473	0	0.14448115	0	0.14925054
1	4	0.120043896	1	0.14910822	1	0.17488012
8	8	0.19280513	8	0.16188565	8	0.15447304
2	6	0.14166611	6	0.11547445	7	0.12002974
0	0	0.20004733	0	0.16902126	0	0.1635673
7	7	0.18377458	4	0.12698118	4	0.12766719
2	4	0.12977982	6	0.1387893	6	0.14721324
0	4	0.12756556	0	0.11983898	0	0.13518552
0	0	0.1740096	0	0.16660465	0	0.16496822
9	9	0.12372319	4	0.10771731	4	0.108184524
1	1	0.16888852	8	0.13807368	8	0.14767444
0	9	0.115535215	8	0.121536985	8	0.12902068
5	6	0.10639918	8	0.12367691	8	0.13089813
1	1	0.15100269	9	0.13096584	9	0.12876886
5	3	0.13443227	5	0.15648757	5	0.16176327
0	0	0.19372796	0	0.16177483	0	0.15609054
3	4	0.1150061	5	0.12269816	5	0.13290071
5	5	0.13122155	6	0.114442505	6	0.118575424
0	0	0.20807184	0	0.16136245	0	0.15611707
2	2	0.11731757	7	0.1100606	7	0.111286156
0	0	0.16670752	0	0.13359113	0	0.1311448
5	5	0.18089096	5	0.12165667	8	0.13122368
3	6	0.12266299	9	0.1486894	9	0.1547616
7	7	0.1686646	7	0.13026512	1	0.12649886
4	4	0.11951235	7	0.119768575	7	0.12553379
1	1	0.17353432	1	0.12476376	1	0.120357975
4	0	0.15825145	0	0.12413439	2	0.12560618
2	6	0.12917179	4	0.1334838	4	0.13370097
5	4	0.13335843	4	0.11784714	4	0.11487558
1	1	0.11723187	3	0.11025436	3	0.111153655
5	4	0.13783856	6	0.12282236	6	0.13324097
2	3	0.1206528	2	0.115982234	2	0.1190224
0	0	0.17141002	8	0.14658369	8	0.15769644
7	7	0.19515575	7	0.14680584	7	0.1408618
2	4	0.13048948	6	0.12648858	6	0.12754932
2	4	0.15341611	4	0.13054991	4	0.12761047
1	9	0.14629608	8	0.12807903	8	0.1359587
8	8	0.17959993	8	0.14299966	8	0.13632885
5	0	0.1282746	2	0.12343901	2	0.124685235
3	2	0.11716649	4	0.119470514	4	0.11999917
5	5	0.20616283	5	0.15393323	5	0.14530402
3	3	0.13778274	3	0.12084934	3	0.11852014
0	8	0.13736673	1	0.15627155	1	0.1629665
6	6	0.124148205	4	0.12543617	4	0.12492776
1	6	0.11540178	1	0.11787137	1	0.12480567
5	5	0.18619844	5	0.14399043	5	0.1389179
2	6	0.12725185	4	0.119133145	4	0.11705538
8	8	0.15651669	8	0.12297063	9	0.123449035
2	4	0.13077661	6	0.11404079	6	0.115815714
5	5	0.17688729	0	0.13204826	0	0.14043455
3	5	0.14813061	5	0.1178718	5	0.11570392
0	0	0.1726705	0	0.13154118	0	0.12248971
8	8	0.14501978	0	0.15458146	0	0.15769005
8	0	0.19042744	0	0.1714117	0	0.16449879
8	8	0.20381999	8	0.17101859	8	0.16713257
6	6	0.1383508	4	0.12856337	4	0.13022648
5	3	0.12315818	5	0.11857673	5	0.12038003
8	8	0.21360981	8	0.19065656	8	0.18678091
1	1	0.17027877	1	0.11702358	1	0.11166441
9	9	0.14809184	6	0.10738361	6	0.11021528
8	8	0.15867701	1	0.11663925	1	0.11598476
1	9	0.12297934	2	0.11815524	2	0.12095814
3	2	0.11986675	4	0.11288708	5	0.11778967
6	6	0.11510925	8	0.13294671	8	0.14868447
0	6	0.13598087	4	0.11570531	4	0.112106256
8	8	0.17566508	8	0.13780023	8	0.13255945
7	7	0.12983695	8	0.1143864	8	0.12510754
5	5	0.15041174	7	0.15074775	7	0.15901951
3	5	0.13279386	6	0.11949061	6	0.12518597
1	1	0.14987822	9	0.15389311	9	0.15943293
8	8	0.17073156	8	0.1352177	8	0.12810493
1	9	0.15496224	1	0.16083929	1	0.16554928
4	4	0.1451636	6	0.1271002	6	0.13108145
