--- Evaluation Results ---
test acc on clean examples (%): 80.480
test acc on FGM adversarial examples (%): 11.470
test acc on PGD adversarial examples (%): 11.390

--- Comparative Table (First 100 samples) ---
True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	7	0.13734928	2	0.21536106	2	0.23196931
0	1	0.13633338	0	0.20000955	0	0.23196927
6	6	0.2178418	2	0.14734843	2	0.2319688
9	9	0.22904427	1	0.17787562	1	0.2319666
5	9	0.1301711	2	0.16435677	5	0.23196901
1	1	0.23194148	9	0.23194689	9	0.2319693
7	7	0.23185934	6	0.21877368	5	0.2319688
0	0	0.14401771	8	0.23182549	8	0.2319693
3	5	0.20159402	8	0.17795688	8	0.2319693
2	7	0.15772036	4	0.17946298	4	0.23196931
7	7	0.23170072	4	0.17477252	4	0.2319692
2	2	0.17229795	6	0.20711939	6	0.2319691
7	7	0.1872754	5	0.20032005	5	0.23196916
9	9	0.22392917	1	0.231967	1	0.23196931
6	2	0.19235249	5	0.22176361	5	0.23196927
8	9	0.14415371	0	0.16674258	8	0.23196927
8	8	0.14552855	0	0.23119569	0	0.23196931
8	8	0.18637767	0	0.17635411	0	0.23196931
7	7	0.2313286	4	0.22749597	4	0.23196931
9	9	0.22798681	1	0.23141125	1	0.23196931
4	4	0.2189428	2	0.2008794	2	0.23196891
2	1	0.1635929	2	0.23164468	2	0.23196931
3	3	0.16786918	9	0.23104113	9	0.2319693
5	5	0.22460368	7	0.15743394	7	0.23196927
0	0	0.21024512	5	0.17356092	5	0.23196927
0	0	0.13091555	9	0.1546525	9	0.2319693
2	2	0.1971345	6	0.17712738	1	0.23196931
8	8	0.22570261	0	0.21626161	0	0.23196901
1	1	0.15331124	9	0.21324843	9	0.2319693
8	8	0.22799656	4	0.15186074	9	0.23196913
2	2	0.22549784	6	0.23025414	6	0.23196931
0	0	0.20585893	8	0.2231026	8	0.2319693
7	7	0.18045329	0	0.23118995	0	0.23196931
2	6	0.15694079	2	0.23129715	2	0.23196931
0	0	0.23149721	6	0.1283148	1	0.23196046
0	2	0.22191401	4	0.13781057	6	0.2227378
9	9	0.23163731	1	0.23191673	1	0.23196931
1	1	0.22903378	9	0.23196885	9	0.2319693
0	9	0.20611554	2	0.1493537	0	0.23196927
5	2	0.17892157	5	0.22321647	5	0.23196931
1	1	0.23187667	9	0.23183064	9	0.2319693
5	5	0.22598097	3	0.23053758	3	0.23196483
0	0	0.21475597	8	0.23175855	8	0.2319693
3	3	0.1777323	9	0.21340737	9	0.2319693
5	5	0.21237357	4	0.21356274	4	0.23196931
0	0	0.23141919	9	0.21133217	9	0.23196909
2	2	0.18932295	4	0.22292	4	0.23196927
0	0	0.20357886	1	0.19520634	1	0.23196901
5	5	0.21666439	6	0.15457448	2	0.2319692
3	6	0.16529824	3	0.17911802	3	0.23196931
7	7	0.20089746	5	0.23192689	5	0.23196931
4	4	0.21866982	2	0.1925799	7	0.23196931
1	1	0.2315139	9	0.23196231	9	0.2319693
4	4	0.15301186	8	0.18437801	2	0.23196791
2	2	0.22489682	6	0.16390486	3	0.23196714
5	5	0.17109698	3	0.22417702	3	0.23196927
1	1	0.2319346	9	0.2045925	9	0.2319693
5	5	0.22092575	2	0.18612559	2	0.23196924
2	2	0.21413288	5	0.21863785	5	0.23196931
0	0	0.23040289	8	0.23177542	8	0.2319693
7	7	0.23193133	4	0.23177212	4	0.23196927
2	2	0.22980843	3	0.16787358	3	0.23187976
2	2	0.19426125	5	0.2309584	5	0.2319692
1	1	0.23188134	9	0.23191145	9	0.2319693
8	8	0.22693989	9	0.22023629	9	0.2319693
5	3	0.1420898	8	0.13386604	5	0.23196931
3	5	0.13137448	2	0.18992013	3	0.23186535
5	5	0.23173995	7	0.19775833	7	0.2319691
3	5	0.14806268	6	0.23006973	6	0.23196927
0	9	0.16288595	1	0.23137967	1	0.23196927
6	6	0.16458279	4	0.17499372	4	0.2319692
1	9	0.1557783	1	0.1622716	1	0.23196931
5	5	0.19093372	6	0.21407948	3	0.23196927
2	2	0.17103353	5	0.22543906	5	0.23196931
8	8	0.20971783	0	0.22906016	0	0.23196931
2	2	0.12352128	6	0.16083159	3	0.23196626
5	5	0.22732963	3	0.22858296	3	0.23196909
3	2	0.1485517	5	0.20079735	5	0.2319692
0	0	0.23176482	6	0.13174424	7	0.23196927
8	8	0.2241331	0	0.20574647	0	0.23196916
8	0	0.14566316	8	0.21844283	8	0.2319693
8	8	0.23194648	0	0.13949795	0	0.23196678
6	6	0.2293957	1	0.23121887	1	0.23196931
5	5	0.13400091	2	0.14894165	7	0.23196927
8	8	0.23152484	1	0.13674717	1	0.23196906
1	1	0.2319678	9	0.22969872	9	0.23196909
9	9	0.23196626	1	0.22609606	1	0.23196927
8	8	0.23194507	4	0.14505626	9	0.2319693
1	9	0.18278973	1	0.23196447	1	0.23196931
3	2	0.18184061	6	0.23161879	6	0.23196931
6	6	0.22886433	3	0.23112054	3	0.23196931
0	1	0.22202723	9	0.2142545	9	0.2319693
8	8	0.2319525	4	0.19494423	0	0.23196916
7	7	0.2302747	9	0.20671475	9	0.2319693
5	5	0.23010771	3	0.22921205	3	0.23196562
3	5	0.20379122	3	0.23014274	3	0.23196927
1	1	0.1876081	9	0.23188595	9	0.2319693
8	8	0.2314406	0	0.17272757	0	0.23196867
1	1	0.2103438	9	0.23196895	9	0.2319693
4	7	0.14996083	2	0.2245781	2	0.23196931
