--- Evaluation Results ---
test acc on clean examples (%): 87.930
test acc on FGM adversarial examples (%): 48.760
test acc on PGD adversarial examples (%): 36.270

--- Comparative Table (First 100 samples) ---
True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	7	0.18848781	3	0.1782418	3	0.23195224
0	0	0.21027133	1	0.23062256	1	0.23178717
6	6	0.23192827	2	0.21174584	2	0.2312529
9	9	0.2319678	9	0.22783297	9	0.2010116
5	7	0.148156	5	0.2285306	5	0.23194161
1	1	0.23196931	1	0.23196931	1	0.23196931
7	7	0.23196664	7	0.22085692	2	0.18206319
0	0	0.21765359	8	0.22268245	8	0.22927178
3	5	0.21429752	3	0.18185836	3	0.23154064
2	2	0.23194297	0	0.23172243	0	0.23196667
7	7	0.23196931	7	0.23196927	7	0.23195869
2	2	0.23196931	2	0.23196901	2	0.23151526
7	7	0.23196931	7	0.231967	7	0.23172833
9	9	0.23196542	9	0.22250654	9	0.21158348
6	2	0.23139933	3	0.11883765	3	0.13918428
8	8	0.23119918	5	0.13546233	5	0.1940986
8	8	0.23182905	0	0.15104409	2	0.22702079
8	8	0.2280472	3	0.22272485	3	0.23191178
7	7	0.23196931	7	0.23196927	7	0.23196913
9	9	0.20837837	1	0.22842014	1	0.23158956
4	4	0.23193493	2	0.22024831	2	0.2317965
2	6	0.13622765	2	0.17410946	2	0.231065
3	3	0.22882113	3	0.14975421	5	0.19260563
5	5	0.22285022	7	0.22996609	7	0.2318494
0	0	0.18835236	5	0.14773291	5	0.20707934
0	0	0.2188972	2	0.23088187	2	0.23194322
2	2	0.23191527	6	0.21809661	6	0.22923096
8	8	0.21675815	0	0.23080538	0	0.23184961
1	1	0.23132585	0	0.220997	0	0.23165841
8	8	0.23195729	8	0.21067068	9	0.21701531
2	2	0.23180832	6	0.22466047	6	0.23083809
0	0	0.16860105	2	0.22823486	2	0.23164135
7	7	0.23193048	4	0.22527485	4	0.23113461
2	2	0.19011804	6	0.2280519	6	0.23166968
0	0	0.23195942	0	0.22482719	0	0.15202725
0	5	0.15900292	0	0.15068728	0	0.19799595
9	9	0.2319693	9	0.2319693	9	0.23195952
1	1	0.23196921	1	0.20008802	9	0.16400068
0	0	0.20993134	9	0.23023228	9	0.23195711
5	5	0.22802076	2	0.22691256	2	0.2319608
1	1	0.23196593	1	0.21882866	1	0.1836847
5	5	0.23164691	3	0.18240513	3	0.21482907
0	0	0.23116182	0	0.18388441	2	0.13289873
3	3	0.2319027	3	0.16102624	5	0.20557788
5	5	0.23155347	4	0.15343823	4	0.22626895
0	0	0.23193525	0	0.21807593	0	0.19196825
2	2	0.16550167	6	0.16751686	6	0.23118672
0	0	0.2318736	0	0.15412258	6	0.19316635
5	5	0.22187516	3	0.1966655	3	0.22546524
3	2	0.18811788	6	0.23193905	6	0.23196608
7	7	0.23196226	5	0.22842777	5	0.23133792
4	4	0.22237669	2	0.23196809	2	0.23196927
1	1	0.23196931	1	0.23196931	1	0.23196931
4	4	0.23195203	4	0.22636627	4	0.20806512
2	2	0.2319692	2	0.19562714	6	0.209009
5	5	0.22491138	3	0.23079738	3	0.23191164
1	1	0.23196916	1	0.22548726	1	0.1470869
5	4	0.14280657	2	0.23176064	2	0.23196678
2	2	0.23196134	5	0.14834927	5	0.21578935
0	0	0.23069188	8	0.2316103	8	0.23195484
7	7	0.23196931	7	0.23196931	7	0.23196931
2	2	0.23196892	2	0.22518641	2	0.17354535
2	2	0.23124565	4	0.20291118	4	0.23063108
1	1	0.23196927	1	0.22056837	1	0.15623395
8	8	0.22881438	0	0.23152956	0	0.23195992
5	5	0.22817755	3	0.21636252	3	0.22936988
3	2	0.15769604	3	0.19565956	3	0.23045202
5	5	0.23196931	5	0.23196653	5	0.23143288
3	6	0.2174856	5	0.21582213	5	0.23025334
0	0	0.2288179	9	0.23194627	9	0.23196785
6	6	0.2319597	7	0.22481415	7	0.23180091
1	1	0.22924307	2	0.14258203	3	0.22133133
5	5	0.2315207	3	0.23089464	3	0.23184638
2	2	0.23196931	2	0.23194589	2	0.20691091
8	0	0.20910065	8	0.23196113	8	0.23196849
2	6	0.13009575	3	0.17189464	3	0.23153853
5	5	0.23196931	5	0.23196921	5	0.23190047
3	2	0.18253097	5	0.16800217	3	0.22281456
0	0	0.23196921	0	0.23120376	0	0.22194447
8	8	0.22665222	0	0.18606012	0	0.22893223
8	0	0.15191281	8	0.23195851	8	0.23196891
8	8	0.2319693	8	0.231892	8	0.23157452
6	6	0.23196931	6	0.23196892	6	0.23192267
5	5	0.21370573	6	0.17058194	4	0.22378711
8	8	0.2319693	8	0.2319693	8	0.2319693
1	1	0.23196931	1	0.23196931	1	0.23196931
9	9	0.2319693	9	0.2319693	9	0.2319693
8	8	0.2319693	8	0.23087433	3	0.23003946
1	1	0.23194107	9	0.21203491	9	0.2275062
3	2	0.223057	5	0.20787777	5	0.23043178
6	6	0.23196901	6	0.21292667	3	0.213297
0	0	0.22611135	4	0.12944071	7	0.18456978
8	8	0.23196542	8	0.17058179	0	0.22280073
7	7	0.23193629	5	0.22789888	5	0.23175575
5	5	0.2317711	7	0.15422505	7	0.21181606
3	3	0.22891419	2	0.14864188	2	0.1722579
1	1	0.23178503	9	0.1866219	9	0.21980742
8	8	0.23196921	8	0.2314728	8	0.22877163
1	1	0.23152648	9	0.23096222	9	0.23180993
4	7	0.22692803	4	0.21259749	4	0.22890832
