--- Evaluation Results ---
test acc on clean examples (%): 88.280
test acc on FGM adversarial examples (%): 49.420
test acc on PGD adversarial examples (%): 28.130

--- Comparative Table (First 100 samples) ---
True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	3	0.22334965	7	0.23186591	7	0.23196927
0	0	0.14728165	3	0.15452534	3	0.2318736
6	6	0.23196624	2	0.1892931	2	0.23193333
9	9	0.2319693	9	0.23182702	9	0.22965534
5	5	0.22337063	2	0.15437925	7	0.23141432
1	1	0.23196931	1	0.23196931	1	0.23196931
7	7	0.2319692	7	0.2246157	4	0.22279043
0	0	0.23196763	0	0.23187105	0	0.2271693
3	5	0.22913611	3	0.2152768	3	0.2318983
2	2	0.22954728	4	0.2319676	4	0.23196924
7	7	0.23196931	7	0.23196931	7	0.23196931
2	2	0.23196931	2	0.23193063	0	0.23048949
7	7	0.23194414	7	0.15431024	5	0.2115163
9	9	0.23196824	9	0.18213026	1	0.19350639
6	6	0.20670146	2	0.2254029	2	0.23186101
8	8	0.2207461	9	0.22653952	9	0.23163697
8	8	0.23196895	0	0.15492986	0	0.23195551
8	8	0.23193073	8	0.13849601	0	0.23179184
7	7	0.23196931	7	0.23196931	7	0.23196931
9	9	0.22717601	1	0.23145173	1	0.23196736
4	4	0.23196775	4	0.17393945	2	0.23196249
2	2	0.22211492	6	0.22751582	6	0.23093706
3	3	0.23152019	7	0.16559061	7	0.22644141
5	5	0.20393603	7	0.23139292	7	0.23194994
0	0	0.231957	0	0.16595186	9	0.2267209
0	0	0.20134377	9	0.2313113	9	0.23196916
2	2	0.23190555	6	0.23109144	6	0.23196828
8	8	0.2317663	0	0.23010181	0	0.23195946
1	1	0.23196927	1	0.2293043	9	0.15652817
8	8	0.23155868	9	0.22890079	9	0.23196585
2	2	0.2319537	4	0.15645748	4	0.23120333
0	0	0.23114854	2	0.21394424	2	0.23185575
7	7	0.23192686	5	0.19837664	5	0.2318503
2	2	0.22248648	6	0.22315599	6	0.23179048
0	0	0.23196931	0	0.23196885	0	0.23091477
0	0	0.19337419	2	0.18740384	2	0.23079892
9	9	0.2319693	9	0.23193817	9	0.23160513
1	1	0.23196931	1	0.2319691	1	0.19424233
0	9	0.18594648	0	0.2242176	0	0.23196927
5	5	0.22582005	6	0.2318273	6	0.23196901
1	1	0.23167117	9	0.22423276	9	0.23149647
5	5	0.2256313	3	0.2204711	3	0.23141636
0	0	0.2318716	0	0.22328064	2	0.1615961
3	3	0.21838665	4	0.22197224	4	0.23195438
5	5	0.22971481	7	0.18334119	7	0.23161183
0	0	0.23196891	0	0.213099	3	0.20711741
2	2	0.15187238	4	0.14419763	3	0.23196718
0	0	0.23195463	0	0.22544196	9	0.16193259
5	5	0.21161826	3	0.23164736	3	0.23196419
3	3	0.2294146	5	0.1840809	5	0.2291781
7	7	0.23196857	7	0.1500397	5	0.22829936
4	4	0.23167221	2	0.2115052	2	0.23196472
1	1	0.23196931	1	0.23196931	1	0.23196931
4	4	0.23196921	4	0.23181213	4	0.19738632
2	2	0.23196931	2	0.23196551	6	0.17975307
5	5	0.17715786	3	0.2318887	3	0.23196901
1	1	0.23196931	1	0.23196927	1	0.23050559
5	5	0.22860554	4	0.20450231	4	0.23195189
2	2	0.2311663	5	0.22403653	5	0.23179638
0	0	0.22196439	8	0.23152934	8	0.23196895
7	7	0.23196931	7	0.23196931	7	0.23196931
2	2	0.23196845	2	0.22412854	3	0.14530617
2	2	0.23190503	5	0.18868977	5	0.23109119
1	1	0.23196721	9	0.17328246	9	0.23034248
8	8	0.23193724	0	0.14940688	0	0.23170218
5	5	0.19273262	3	0.22576137	3	0.23153596
3	2	0.22886927	3	0.15529227	3	0.23159453
5	5	0.23191349	5	0.16451785	3	0.21323937
3	3	0.13440762	2	0.200297	2	0.23137785
0	0	0.17946829	9	0.23192047	9	0.23196757
6	6	0.22283506	5	0.15673587	5	0.23177524
1	1	0.23187657	7	0.14445323	7	0.23143171
5	5	0.22791974	3	0.22903429	3	0.23192483
2	2	0.23196913	2	0.18777613	5	0.22977258
8	8	0.22579172	0	0.23195665	0	0.23196921
2	4	0.17066868	2	0.21768631	2	0.23196924
5	5	0.23196931	5	0.23196931	5	0.23196931
3	4	0.15812589	5	0.20838195	5	0.23189226
0	0	0.23196931	0	0.23196909	0	0.22207385
8	8	0.17999826	0	0.23096678	0	0.23191476
8	8	0.23148203	0	0.20877041	0	0.23184466
8	8	0.2319693	8	0.2319693	8	0.23171803
6	6	0.23196921	6	0.23128633	6	0.19801971
5	5	0.17779876	3	0.22424948	3	0.2319665
8	8	0.23196921	8	0.23083234	0	0.15147378
1	1	0.23196931	1	0.23196931	1	0.23196931
9	9	0.2319693	9	0.2319693	9	0.2319693
8	8	0.2319693	8	0.22580442	3	0.23196793
1	1	0.23195289	9	0.23160096	9	0.23196736
3	2	0.21796045	6	0.23106533	6	0.23196863
6	6	0.23196927	6	0.22533119	3	0.22413394
0	6	0.2033296	7	0.21938646	7	0.23193891
8	8	0.2319693	8	0.23048691	0	0.21420181
7	7	0.23196135	5	0.18512328	5	0.23111863
5	5	0.23173529	5	0.18791395	7	0.2315078
3	3	0.23144859	5	0.17770663	5	0.23137917
1	1	0.23139681	8	0.23152219	8	0.2319691
8	8	0.23182224	8	0.14611246	0	0.21840306
1	1	0.23196696	9	0.17305627	9	0.22909924
4	7	0.22709319	4	0.12770995	4	0.23186557
