True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	7	0.15224442	5	0.13300659	5	0.16285262
0	1	0.1457989	3	0.13605207	3	0.15472221
6	6	0.20208663	2	0.19633654	2	0.22433916
9	9	0.21392204	8	0.21181136	8	0.22840182
5	5	0.1981403	7	0.21758173	7	0.22864622
1	1	0.23196839	1	0.23155025	1	0.23045254
7	7	0.23171037	7	0.20540452	7	0.14562215
0	0	0.210885	8	0.20234485	8	0.2198212
3	3	0.14490266	5	0.22584182	5	0.23071997
2	2	0.15658453	4	0.14500795	7	0.22048967
7	7	0.23176113	7	0.22835806	7	0.22514713
2	2	0.23072053	6	0.14042112	6	0.2258381
7	7	0.2055148	5	0.21864109	5	0.22790314
9	9	0.22472492	1	0.19087142	1	0.20751072
6	2	0.20897184	4	0.16876408	4	0.21152891
8	8	0.1458546	4	0.15422548	4	0.22287007
8	0	0.1301041	8	0.22167341	8	0.23083128
8	8	0.17894745	0	0.1385822	0	0.18174276
7	7	0.23186745	7	0.22164185	7	0.19090489
9	9	0.19292776	1	0.18887845	1	0.21146299
4	4	0.22750475	6	0.15807223	6	0.2283221
2	6	0.17501362	2	0.20193048	2	0.21837176
3	3	0.17442697	7	0.14650488	7	0.1763756
5	5	0.21777229	5	0.13357866	2	0.15499102
0	5	0.11734667	2	0.14540051	2	0.17804345
0	8	0.15528466	2	0.16896094	2	0.2068167
2	2	0.22318019	2	0.15464532	0	0.131268
8	8	0.18000832	0	0.2046692	0	0.22094832
1	1	0.23033464	1	0.15317498	0	0.21556732
8	8	0.22538507	9	0.14077264	9	0.20063253
2	2	0.17715512	6	0.22311832	6	0.22841921
0	0	0.2249551	0	0.1973711	0	0.15658835
7	7	0.21098393	4	0.16755107	4	0.21397538
2	2	0.21686314	6	0.1350157	6	0.19406912
0	0	0.22994085	0	0.1881246	2	0.12646575
0	0	0.14433515	2	0.12870574	2	0.14190784
9	9	0.23166844	9	0.22256537	9	0.21435818
1	1	0.23183674	1	0.21471901	1	0.18980996
0	9	0.19449402	0	0.12833606	7	0.21293546
5	5	0.13911219	2	0.20592296	2	0.22975005
1	1	0.23015733	1	0.19858518	1	0.14084128
5	5	0.19528264	3	0.19525461	3	0.21989127
0	0	0.20361021	2	0.15211362	2	0.19189239
3	3	0.15016475	5	0.13217723	6	0.21403332
5	5	0.15570919	3	0.13409224	4	0.12765686
0	0	0.22863784	0	0.15742266	0	0.12634078
2	2	0.21997488	2	0.14178313	3	0.18711738
0	0	0.18744448	2	0.14875455	2	0.18226643
5	5	0.23035142	5	0.17464542	2	0.1678482
3	6	0.18507572	2	0.22220546	2	0.23040426
7	7	0.22903742	5	0.16537976	5	0.21328942
4	7	0.17425303	4	0.17687619	4	0.22044049
1	1	0.23196721	1	0.22943096	1	0.22017272
4	4	0.2262864	4	0.16378029	2	0.17367019
2	2	0.23081046	7	0.12870291	7	0.21262574
5	3	0.15615758	5	0.18906425	5	0.21782334
1	1	0.23047017	6	0.14206134	6	0.1432767
5	4	0.15444613	2	0.15275574	2	0.21538725
2	2	0.22910628	2	0.16580614	7	0.16689955
0	0	0.2011882	8	0.21708028	8	0.23115166
7	7	0.23185991	7	0.2255771	7	0.21778509
2	2	0.2316997	2	0.14633171	4	0.17714332
2	2	0.20248446	5	0.18442942	5	0.20074691
1	1	0.20492682	9	0.21922794	9	0.2295279
8	8	0.22733603	9	0.17311047	9	0.21436639
5	2	0.18253195	5	0.14861456	5	0.19396065
3	3	0.11744235	6	0.1365276	6	0.20144655
5	5	0.23194066	5	0.23114675	5	0.22630455
3	5	0.154517	3	0.20992607	3	0.22876926
0	9	0.17394778	1	0.22431432	1	0.22912174
6	6	0.11502494	5	0.15708321	5	0.19848752
1	1	0.22965123	7	0.1472137	7	0.16561197
5	5	0.23143356	5	0.21348655	5	0.1763261
2	2	0.22629449	5	0.2207691	5	0.22974136
8	8	0.18958098	0	0.22885479	0	0.23129477
2	4	0.13369605	2	0.13289559	2	0.23081878
5	5	0.23065478	5	0.21377502	5	0.19040085
3	5	0.20752059	7	0.2043486	7	0.22590375
0	0	0.22664362	0	0.18727833	0	0.14530595
8	0	0.18297616	8	0.21474679	8	0.22944613
8	0	0.16921334	8	0.22816241	8	0.2315765
8	8	0.2319362	8	0.23016968	8	0.21777478
6	6	0.2276071	6	0.16950208	2	0.16363502
5	5	0.21088085	7	0.1961284	7	0.23008046
8	8	0.23177196	8	0.1975459	0	0.19512667
1	1	0.23194748	1	0.22927642	1	0.22518046
9	9	0.2311395	9	0.20403834	9	0.183642
8	8	0.23183689	8	0.18584357	2	0.18161322
1	1	0.19432239	9	0.13055395	9	0.19094685
3	2	0.22767985	2	0.16860631	6	0.15260814
6	6	0.22639647	3	0.20076877	3	0.2269861
0	1	0.14031273	3	0.15021685	3	0.19139962
8	8	0.23144157	8	0.16963275	0	0.171821
7	7	0.17778097	5	0.16794677	5	0.21033989
5	5	0.1692018	7	0.209792	7	0.22747871
3	3	0.19212472	5	0.14961164	5	0.16814815
1	1	0.22712821	9	0.12269077	6	0.14333035
8	8	0.23195094	8	0.22804134	8	0.19703066
1	1	0.23172635	9	0.19822228	9	0.22405389
4	7	0.13101509	4	0.12634405	3	0.12322476
