True Label	Clean Prediction	Clean Confidence	FGSM Prediction	FGSM Confidence	PGD Prediction	PGD Confidence
7	2	0.1502717	3	0.139715	7	0.23195004
0	7	0.118454225	8	0.18714006	8	0.2319693
6	6	0.20472527	2	0.14803766	2	0.23190036
9	9	0.22107296	8	0.19040345	0	0.23194063
5	5	0.14145494	7	0.14713863	7	0.2319692
1	1	0.23194802	9	0.22787178	9	0.2319693
7	7	0.23163603	6	0.13232236	2	0.23196863
0	0	0.22138089	1	0.13732944	8	0.23194915
3	5	0.1361822	4	0.11781891	8	0.23196921
2	4	0.20776561	7	0.18716872	7	0.23196927
7	7	0.23179796	2	0.12434914	4	0.23187944
2	2	0.2313225	2	0.1467377	4	0.23195243
7	7	0.22877482	4	0.14295281	4	0.23196927
9	9	0.23055165	6	0.119543575	1	0.23196901
6	2	0.22002015	4	0.14471017	7	0.23196718
8	8	0.19343069	9	0.19082622	9	0.2319693
8	8	0.21102668	9	0.14128414	2	0.23196927
8	8	0.22527823	8	0.17508383	2	0.23195527
7	7	0.23180835	4	0.2015318	4	0.23196927
9	9	0.18690135	1	0.1644524	1	0.23196927
4	4	0.15792657	6	0.14168416	2	0.23196892
2	6	0.13712429	9	0.1404218	1	0.23196754
3	7	0.12529011	3	0.15845786	3	0.23196498
5	5	0.19836062	4	0.14178698	2	0.23196888
0	3	0.15302044	0	0.19322804	0	0.23196892
0	0	0.18977652	4	0.14729655	8	0.2319691
2	6	0.18232968	2	0.20778362	2	0.23196883
8	8	0.20175305	0	0.20236783	0	0.23193122
1	1	0.1963399	4	0.14811976	0	0.23196395
8	8	0.2300127	8	0.1824236	0	0.2319568
2	6	0.22656925	2	0.1793275	2	0.23194766
0	0	0.22723974	2	0.13579537	2	0.23194143
7	7	0.22284839	6	0.18067846	6	0.23196611
2	4	0.13437659	2	0.14741988	2	0.23196639
0	0	0.221494	2	0.16818644	2	0.23196875
0	2	0.19782661	4	0.12651643	5	0.23196277
9	9	0.2319361	9	0.14357875	3	0.23160623
1	1	0.23165448	9	0.21434155	9	0.2319693
0	0	0.1291815	9	0.123981744	9	0.2319693
5	2	0.16792977	3	0.13754858	3	0.23189446
1	1	0.23156002	9	0.11936588	9	0.2319693
5	5	0.22621882	3	0.19623944	3	0.23196049
0	0	0.22589302	8	0.19129477	2	0.23188937
3	3	0.1925169	6	0.16317804	6	0.23196515
5	4	0.1565166	5	0.12253232	5	0.23192121
0	0	0.23111238	4	0.146361	4	0.2319692
2	2	0.22329065	2	0.13077219	9	0.2319691
0	0	0.21061714	2	0.15027288	2	0.23196885
5	5	0.22922094	3	0.12570485	2	0.23196799
3	6	0.19999625	3	0.14389421	2	0.23196216
7	7	0.23149174	7	0.17065175	5	0.2319648
4	7	0.2134044	4	0.21172734	4	0.23196927
1	1	0.23196891	9	0.22175956	9	0.23196927
4	4	0.2312344	4	0.17105438	9	0.2319693
2	2	0.23075478	6	0.1851428	3	0.23196724
5	3	0.15389735	6	0.19823363	4	0.2319692
1	1	0.23153405	2	0.14704892	2	0.23196778
5	4	0.11418245	2	0.14032257	6	0.23196895
2	2	0.22977799	3	0.12728985	3	0.23192579
0	0	0.2299476	0	0.16284198	2	0.2319665
7	7	0.23184447	4	0.1625913	4	0.23196778
2	2	0.21421228	4	0.22443396	4	0.23195033
2	2	0.17333509	4	0.22893667	4	0.23196888
1	1	0.21823253	9	0.23179583	9	0.2319693
8	8	0.2157817	9	0.20852065	9	0.2319693
5	0	0.200409	3	0.14206886	3	0.23195197
3	3	0.14183035	4	0.19716887	4	0.23196892
5	5	0.22878642	2	0.1643806	2	0.23196372
3	3	0.13952276	5	0.15700862	5	0.23196791
0	0	0.14796159	4	0.19953673	4	0.23196931
6	6	0.17410652	4	0.13657203	5	0.23169284
1	1	0.2185724	2	0.15155701	2	0.23196644
5	5	0.22270553	6	0.16423474	3	0.23196718
2	2	0.20478275	4	0.22186317	4	0.23196916
8	8	0.2266882	4	0.16768904	0	0.2319691
2	5	0.14489178	4	0.14950217	2	0.23196927
5	5	0.20866366	3	0.14638397	9	0.23186357
3	2	0.18456845	4	0.14262995	7	0.23196688
0	0	0.22821213	0	0.11911995	2	0.23196796
8	8	0.1650992	9	0.19559368	9	0.2319693
8	8	0.1592395	8	0.17872804	0	0.23187847
8	8	0.23194954	8	0.2290842	0	0.23154056
6	6	0.23021646	4	0.1449974	4	0.23196927
5	5	0.12656799	2	0.13892996	2	0.23196906
8	8	0.2319218	8	0.14317365	9	0.2319075
1	1	0.23193307	1	0.13529587	9	0.23196892
9	9	0.2312142	9	0.20291226	1	0.23196813
8	8	0.23126735	6	0.16695417	3	0.23194589
1	1	0.22617756	4	0.12714472	4	0.23196772
3	2	0.16215639	6	0.1364664	6	0.23196782
6	6	0.21856499	3	0.21420255	3	0.23196846
0	3	0.11864015	9	0.16973774	9	0.23196827
8	8	0.23044865	4	0.22611739	4	0.23196921
7	7	0.2289791	2	0.1561986	5	0.2319371
5	5	0.15591009	4	0.23169471	4	0.23196931
3	3	0.1806088	5	0.13347188	5	0.23196909
1	1	0.22973932	9	0.1641425	9	0.2319693
8	8	0.23193248	8	0.20622188	0	0.23195495
1	1	0.224904	9	0.23185034	9	0.2319693
4	7	0.19822066	6	0.14293046	0	0.23193166
